Job Title,Location,Type,Department,Apply Link,Description
Senior User Researcher (Gender Inclusion),Nairobi,Full time,Gender Inclusion,https://www.m-kopa.com/M-KOPA/8efa621b-162d-4f5a-b084-88586076a31a?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
Senior Manager Strategy & Operations - Technology,Nairobi; Kampala; Accra; Lagos,Full time,Technology,https://www.m-kopa.com/M-KOPA/87a95be5-828c-4c0f-863c-1184d76a6299?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
Research Scientist - Financial Inclusion at Scale,London; Johannesburg; Nairobi; Berlin; Amsterdam; Paris; Barcelona; Ireland; Cape Town; Accra; Lagos,Full time,Data Science,https://www.m-kopa.com/M-KOPA/dcd2e1a1-56c7-4cb6-aaa2-f7e7d70840b8?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
Head of Product Design,London; Nairobi; Johannesburg; Lagos; Accra; Kampala,Full time,Product Design,https://www.m-kopa.com/M-KOPA/f232e9a1-74da-4805-ba49-1221f5683878?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
Head of Product - Digital Financial Services,Nairobi; Lagos; Cape Town; Accra; Johannesburg; Kampala,Full time,Product Management,https://www.m-kopa.com/M-KOPA/353925b4-5691-4992-8d19-374312d8035c?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
Senior Product Manager - Digital Financial Services,Nairobi; Lagos; Uganda; Accra; Kampala,Full time,Product Management,https://www.m-kopa.com/M-KOPA/8a8a5bad-a554-478e-a76b-42af84f25dd0?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
Senior Product Manager - Lending Platform,Nairobi; Lagos; Kampala; Accra,Full time,Product Management,https://www.m-kopa.com/M-KOPA/1bf3ef61-9d6a-4b4b-9eb3-524ca74d7497?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
Senior Android Engineer,London; Nairobi; Lagos; Accra; Barcelona; Birmingham; Budapest; Ireland; Madrid; Lisbon; Egypt; Kampala,Full time,Software Engineering,https://www.m-kopa.com/M-KOPA/d562fea0-8079-42c5-a92b-6e5bfa89f4be?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
Senior Backend Engineer (.NET),Accra; Kampala; Lagos; Nairobi,Full time,Software Engineering,https://www.m-kopa.com/M-KOPA/5189b8ed-8b23-4f87-bff3-5d2f150260fa?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
Customer Operations Manager - eMobility,Nairobi,Full time,Mobility,https://www.m-kopa.com/M-KOPA/ab3a1970-1c94-40cb-b009-b3acb5673275?embed=js&locationId=ed2d7763-f433-4318-abeb-919068213c32,N/A
